MICS_CO,MICS_NH,MICS_NO,BME_RAW_ADC,BME_REAL_ADC,SCD_CO2,SCD_TEMP,SCD_HUM,MQ5_VOLTAGE_MV,MQ5_GAS_DETECTED,label
55,21,29,201544,251534,453,26,39,821,0,C_fire
84,21,29,201679,251613,471,26,40,805,0,C_fire
55,23,31,201537,251260,488,25,39,822,0,C_fire
107,23,30,201467,251480,468,26,41,817,0,C_fire
60,22,30,201616,251521,470,26,40,808,0,C_fire
55,23,30,201735,251431,468,25,39,829,0,C_fire
92,22,31,201826,251672,521,25,39,833,0,C_fire
111,21,31,201837,252451,545,25,40,826,0,C_fire
149,21,31,202121,252962,570,25,39,839,0,C_fire
172,22,29,202158,253015,649,26,41,864,0,C_fire
205,23,31,202528,254096,734,27,39,871,0,C_fire
235,22,32,202739,255025,789,28,39,891,0,C_fire
257,23,32,202768,256462,889,28,40,892,0,C_fire
322,23,31,203206,257275,954,28,40,916,0,C_fire
332,22,32,203549,258925,1068,29,42,927,0,C_fire
420,24,31,203970,260248,1187,30,41,984,0,C_fire
403,23,33,204198,262103,1281,30,41,981,0,C_fire
525,24,34,204873,263884,1446,32,41,1013,0,C_fire
529,24,33,205320,265309,1584,30,40,1031,0,C_fire
619,26,33,205471,267483,1706,31,40,1076,0,C_fire
647,25,34,205994,268874,1844,34,41,1109,0,C_fire
738,25,33,206795,270583,2021,35,41,1153,1,C_fire
810,25,35,206994,272158,2106,34,42,1169,1,C_fire
831,26,36,207585,274446,2278,36,41,1208,1,C_fire
921,28,35,207913,276299,2446,37,42,1242,1,C_fire
959,28,36,208076,277786,2561,36,43,1231,1,C_fire
1057,26,37,208905,280519,2742,38,42,1279,1,C_fire
1084,29,36,209368,282805,2892,40,42,1313,1,C_fire
1184,28,38,210140,285120,3088,39,44,1345,1,C_fire
1263,29,39,210445,286398,3232,42,42,1403,1,C_fire
1320,28,37,210635,287045,3315,42,42,1383,1,C_fire
1356,28,38,211322,289911,3528,43,42,1439,1,C_fire
1453,29,38,211647,290840,3573,44,42,1448,1,C_fire
1526,30,38,212342,294725,3827,43,44,1517,1,C_fire
1565,29,41,212626,294750,3861,45,44,1534,1,C_fire
1628,30,41,213071,296186,4001,47,45,1534,1,C_fire
1703,31,41,213227,297518,4110,48,44,1569,1,C_fire
1772,30,42,213813,300050,4311,48,44,1617,1,C_fire
1859,31,40,214266,302187,4485,49,44,1664,1,C_fire
1866,32,40,214762,303130,4532,48,44,1659,1,C_fire
1928,31,41,214905,303873,4583,50,44,1655,1,C_fire
1986,31,41,215294,305380,4717,50,46,1677,1,C_fire
2057,31,42,215479,306980,4833,51,44,1707,1,C_fire
2090,31,41,215880,308094,4894,50,45,1730,1,C_fire
2162,32,43,216445,310090,5067,51,45,1749,1,C_fire
2161,32,43,216591,309854,5062,51,46,1760,1,C_fire
2141,34,43,216484,309659,5039,51,45,1768,1,C_fire
2198,34,43,216722,311804,5189,52,46,1780,1,C_fire
2189,32,42,216583,310714,5125,53,44,1762,1,C_fire
2197,32,42,216367,310293,5078,53,45,1764,1,C_fire
79,21,31,201554,251000,486,25,39,805,0,B_fire
95,23,31,201400,251173,453,26,41,805,0,B_fire
76,23,29,201541,251352,491,25,39,805,0,B_fire
78,21,30,201759,251260,479,25,40,805,0,B_fire
56,23,31,201475,251000,490,25,39,815,0,B_fire
65,21,30,201703,251396,485,26,40,813,0,B_fire
65,22,29,201690,251304,512,25,41,808,0,B_fire
111,21,30,201699,251735,540,25,39,805,0,B_fire
106,22,30,202028,252274,568,26,41,810,0,B_fire
158,24,30,201796,253056,626,27,40,847,0,B_fire
148,24,32,202288,253757,659,26,39,836,0,B_fire
197,24,31,202471,255156,753,28,40,843,0,B_fire
206,24,32,202518,256154,798,26,41,877,0,B_fire
228,24,31,202847,256930,902,29,42,876,0,B_fire
311,24,32,202906,257898,962,27,41,876,0,B_fire
316,25,31,203243,259405,1088,30,41,923,0,B_fire
356,24,32,203823,261043,1152,29,40,910,0,B_fire
385,26,34,203785,262398,1283,30,42,954,0,B_fire
439,26,33,204513,263792,1404,31,41,953,0,B_fire
524,25,33,204431,265424,1506,30,42,967,0,B_fire
576,26,34,205170,267305,1623,33,41,990,0,B_fire
636,26,35,205255,268729,1772,34,43,1022,0,B_fire
668,28,37,205510,270411,1901,34,43,1031,0,B_fire
699,28,36,206024,272188,2012,34,43,1039,0,B_fire
